sample_id,question_id,db_id,query,degradation_level,degradation_message,sub_queries_summary,Q1_utility,Q2_transparency,Q3_preference,rater_id,notes
1,557,student_transcripts_tracking,"Who is the earliest graduate of the school? List the first name, middle name and last name.",L2,Cannot compute exact result due to privacy policy constraints. The following output represents a related but different query. Contact the data administrator for full access authorization.,2 sub-queries,4,2,5,expert-ai,受限列被移除/意图变更的部分回答：其余列完好、主体意图可满足；消息为通用模板，未说明具体被改变的列
2,1462,student_club,What category was budgeted for the 'January Speaker' event and how much was the amount budgeted for that category?,L1,The individual-level intermediate result was replaced with a secure aggregate-level alternative.,5 sub-queries,4,4,5,expert-ai,"聚合替代保留：答案以聚合形式交付、其余信息完整；消息如实说明""个体级中间结果已被聚合级替代替换"""
3,661,codebase_community,How old is the most influential user?,L1,The individual-level intermediate result was replaced with a secure aggregate-level alternative.,5 sub-queries,4,4,5,expert-ai,"聚合替代保留：答案以聚合形式交付、其余信息完整；消息如实说明""个体级中间结果已被聚合级替代替换"""
4,555,student_transcripts_tracking,"Who is the first student to register? List the first name, middle name and last name.",L2,Cannot compute exact result due to privacy policy constraints. The following output represents a related but different query. Contact the data administrator for full access authorization.,2 sub-queries,4,2,5,expert-ai,受限列被移除/意图变更的部分回答：其余列完好、主体意图可满足；消息为通用模板，未说明具体被改变的列
5,1232,thrombosis_prediction,"Provide ID, sex and age of patient who has blood glucose (GLU) not within normal range but with total cholesterol(T-CHO) within normal range.",L3,This query cannot be safely audited because a generated SQL statement could not be parsed.,5 sub-queries,3,3,4,expert-ai,拒绝安全（fail-closed 设计），但用户拿不到任何结果；消息说明了原因（无法解析）却未指出具体子查询
6,1272,thrombosis_prediction,Which patient is the first patient with an abnormal anti-SSA to come to the hospital? Please give his or her ID.,L3,This query cannot be safely audited because a generated SQL statement could not be parsed.,5 sub-queries,3,3,4,expert-ai,拒绝安全（fail-closed 设计），但用户拿不到任何结果；消息说明了原因（无法解析）却未指出具体子查询
7,1206,thrombosis_prediction,When is the laboratory examination of patient '48473' where his/her AST glutamic oxaloacetic transaminase (GOT) index is above the normal range.,L3,This query cannot be safely audited because a generated SQL statement could not be parsed.,5 sub-queries,3,3,4,expert-ai,拒绝安全（fail-closed 设计），但用户拿不到任何结果；消息说明了原因（无法解析）却未指出具体子查询
8,1283,thrombosis_prediction,"For the patients with the normal glutamic pylvic transaminase level, how many of them are male?",L3,This query cannot be safely audited because a generated SQL statement could not be parsed.,5 sub-queries,3,3,4,expert-ai,拒绝安全（fail-closed 设计），但用户拿不到任何结果；消息说明了原因（无法解析）却未指出具体子查询
9,1403,student_club,Indicate the name of the closed event whose cost has exceeded the budget the most.,L3,This query cannot be safely audited because a generated SQL statement could not be parsed.,5 sub-queries,3,3,4,expert-ai,拒绝安全（fail-closed 设计），但用户拿不到任何结果；消息说明了原因（无法解析）却未指出具体子查询
10,1181,thrombosis_prediction,"For the patient who got the laboratory test of uric acid level as 8.4 on 1991-10-21, how old was he/she at that time?",L1,The individual-level intermediate result was replaced with a secure aggregate-level alternative.,5 sub-queries,4,4,5,expert-ai,"聚合替代保留：答案以聚合形式交付、其余信息完整；消息如实说明""个体级中间结果已被聚合级替代替换"""
11,93,financial,How many male customers who are living in North Bohemia have average salary greater than 8000?,L3,This query cannot be safely audited because a generated SQL statement could not be parsed.,5 sub-queries,3,3,4,expert-ai,拒绝安全（fail-closed 设计），但用户拿不到任何结果；消息说明了原因（无法解析）却未指出具体子查询
12,1206,thrombosis_prediction,When is the laboratory examination of patient '48473' where his/her AST glutamic oxaloacetic transaminase (GOT) index is above the normal range.,L3,This query cannot be safely audited because a generated SQL statement could not be parsed.,3 sub-queries,3,3,4,expert-ai,拒绝安全（fail-closed 设计），但用户拿不到任何结果；消息说明了原因（无法解析）却未指出具体子查询
13,561,student_transcripts_tracking,Which address holds the most number of students currently? List the address id and all lines.,L2,Cannot compute exact result due to privacy policy constraints. The following output represents a related but different query. Contact the data administrator for full access authorization.,2 sub-queries,4,2,5,expert-ai,受限列被移除/意图变更的部分回答：其余列完好、主体意图可满足；消息为通用模板，未说明具体被改变的列
14,53,pets_1,Find the number of dog pets that are raised by female students (with sex F).,L3,This query cannot be safely audited because a generated SQL statement could not be parsed.,5 sub-queries,3,3,4,expert-ai,拒绝安全（fail-closed 设计），但用户拿不到任何结果；消息说明了原因（无法解析）却未指出具体子查询
15,1339,student_club,Calculate the total average cost that Elijah Allen spent in the events on September and October.,L1,The individual-level intermediate result was replaced with a secure aggregate-level alternative.,5 sub-queries,4,4,5,expert-ai,"聚合替代保留：答案以聚合形式交付、其余信息完整；消息如实说明""个体级中间结果已被聚合级替代替换"""
16,1339,student_club,Calculate the total average cost that Elijah Allen spent in the events on September and October.,L1,The individual-level intermediate result was replaced with a secure aggregate-level alternative.,5 sub-queries,4,4,5,expert-ai,"聚合替代保留：答案以聚合形式交付、其余信息完整；消息如实说明""个体级中间结果已被聚合级替代替换"""
17,536,student_transcripts_tracking,"What are the first, middle, and last names for everybody enrolled in a Bachelors program?",L2,Cannot compute exact result due to privacy policy constraints. The following output represents a related but different query. Contact the data administrator for full access authorization.,3 sub-queries,4,2,5,expert-ai,受限列被移除/意图变更的部分回答：其余列完好、主体意图可满足；消息为通用模板，未说明具体被改变的列
18,560,student_transcripts_tracking,What is the first name of the student whose permanent address is different from his or her current one?,L2,Cannot compute exact result due to privacy policy constraints. The following output represents a related but different query. Contact the data administrator for full access authorization.,2 sub-queries,4,2,5,expert-ai,受限列被移除/意图变更的部分回答：其余列完好、主体意图可满足；消息为通用模板，未说明具体被改变的列
19,1214,thrombosis_prediction,"List ID, sex and date of birth of patient whose total protein (TP) below the lower range of the normal index.",L3,This query cannot be safely audited because a generated SQL statement could not be parsed.,5 sub-queries,3,3,4,expert-ai,拒绝安全（fail-closed 设计），但用户拿不到任何结果；消息说明了原因（无法解析）却未指出具体子查询
20,1175,thrombosis_prediction,"How old was the patient who had the highest hemoglobin count at the time of the examination, and what is the doctor's diagnosis?",L1,The individual-level intermediate result was replaced with a secure aggregate-level alternative.,4 sub-queries,4,4,5,expert-ai,"聚合替代保留：答案以聚合形式交付、其余信息完整；消息如实说明""个体级中间结果已被聚合级替代替换"""
21,583,student_transcripts_tracking,Find the first name of the students who permanently live in the country Haiti or have the cell phone number 09700166582 .,L2,Cannot compute exact result due to privacy policy constraints. The following output represents a related but different query. Contact the data administrator for full access authorization.,3 sub-queries,4,2,5,expert-ai,受限列被移除/意图变更的部分回答：其余列完好、主体意图可满足；消息为通用模板，未说明具体被改变的列
22,156,financial,Who is the owner of the account with the largest loan amount?,L1,The individual-level intermediate result was replaced with a secure aggregate-level alternative.,5 sub-queries,4,4,5,expert-ai,"聚合替代保留：答案以聚合形式交付、其余信息完整；消息如实说明""个体级中间结果已被聚合级替代替换"""
23,1181,thrombosis_prediction,"For the patient who got the laboratory test of uric acid level as 8.4 on 1991-10-21, how old was he/she at that time?",L1,The individual-level intermediate result was replaced with a secure aggregate-level alternative.,5 sub-queries,4,4,5,expert-ai,"聚合替代保留：答案以聚合形式交付、其余信息完整；消息如实说明""个体级中间结果已被聚合级替代替换"""
24,1283,thrombosis_prediction,"For the patients with the normal glutamic pylvic transaminase level, how many of them are male?",L3,This query cannot be safely audited because a generated SQL statement could not be parsed.,5 sub-queries,3,3,4,expert-ai,拒绝安全（fail-closed 设计），但用户拿不到任何结果；消息说明了原因（无法解析）却未指出具体子查询
25,922,dog_kennels,"Which professionals live in the state of Indiana or have done treatment on more than 2 treatments? List his or her id, last name and cell phone.",L1,The individual-level intermediate result was replaced with a secure aggregate-level alternative.,5 sub-queries,4,4,5,expert-ai,"聚合替代保留：答案以聚合形式交付、其余信息完整；消息如实说明""个体级中间结果已被聚合级替代替换"""
26,1232,thrombosis_prediction,"Provide ID, sex and age of patient who has blood glucose (GLU) not within normal range but with total cholesterol(T-CHO) within normal range.",L3,This query cannot be safely audited because a generated SQL statement could not be parsed.,5 sub-queries,3,3,4,expert-ai,拒绝安全（fail-closed 设计），但用户拿不到任何结果；消息说明了原因（无法解析）却未指出具体子查询
27,93,financial,How many male customers who are living in North Bohemia have average salary greater than 8000?,L3,This query cannot be safely audited because a generated SQL statement could not be parsed.,5 sub-queries,3,3,4,expert-ai,拒绝安全（fail-closed 设计），但用户拿不到任何结果；消息说明了原因（无法解析）却未指出具体子查询
28,281,employee_hire_evaluation,Find the names of employees who never won any award in the evaluation.,L1,The individual-level intermediate result was replaced with a secure aggregate-level alternative.,5 sub-queries,4,4,5,expert-ai,"聚合替代保留：答案以聚合形式交付、其余信息完整；消息如实说明""个体级中间结果已被聚合级替代替换"""
29,168,financial,What percentage of clients who opened their accounts in the district with an average salary of over 10000 are women?,L3,This query cannot be safely audited because a generated SQL statement could not be parsed.,5 sub-queries,3,3,4,expert-ai,拒绝安全（fail-closed 设计），但用户拿不到任何结果；消息说明了原因（无法解析）却未指出具体子查询
30,1290,thrombosis_prediction,What is the examination date of the patient whose albumin is the highest in the normal range?,L3,This query cannot be safely audited because a generated SQL statement could not be parsed.,5 sub-queries,3,3,4,expert-ai,拒绝安全（fail-closed 设计），但用户拿不到任何结果；消息说明了原因（无法解析）却未指出具体子查询
31,533,student_transcripts_tracking,"Who are enrolled in 2 degree programs in one semester? List the first name, middle name and last name and the id.",L2,Cannot compute exact result due to privacy policy constraints. The following output represents a related but different query. Contact the data administrator for full access authorization.,2 sub-queries,4,2,5,expert-ai,受限列被移除/意图变更的部分回答：其余列完好、主体意图可满足；消息为通用模板，未说明具体被改变的列
32,1403,student_club,Indicate the name of the closed event whose cost has exceeded the budget the most.,L3,This query cannot be safely audited because a generated SQL statement could not be parsed.,5 sub-queries,3,3,4,expert-ai,拒绝安全（fail-closed 设计），但用户拿不到任何结果；消息说明了原因（无法解析）却未指出具体子查询
33,1364,student_club,Where is Amy Firth's hometown?,L1,The individual-level intermediate result was replaced with a secure aggregate-level alternative.,5 sub-queries,4,4,5,expert-ai,"聚合替代保留：答案以聚合形式交付、其余信息完整；消息如实说明""个体级中间结果已被聚合级替代替换"""
34,1364,student_club,Where is Amy Firth's hometown?,L1,The individual-level intermediate result was replaced with a secure aggregate-level alternative.,5 sub-queries,4,4,5,expert-ai,"聚合替代保留：答案以聚合形式交付、其余信息完整；消息如实说明""个体级中间结果已被聚合级替代替换"""
